Time,Number of players,Total bets,Multiplier
12:31,4860,285149.22,19.47
12:32,5485,347475.08,8.5
12:32,4889,279895.61,16.85
12:33,4722,264369.12,7.92
12:33,4631,261669.26,2.19
12:34,3821,219453.32,2.7
12:34,4496,270534.03,3.01
12:34,4770,301274.78,3.87
12:35,5089,299381.68,1.96
12:35,4403,240094.04,2.17
12:36,3925,190591.12,2.37
12:36,5239,190591.12,1
4:08,5184,357567.09,1.17
4:09,5318,396546.91,24.11
4:10,6411,396561.83,29.02
4:10,5603,333743.85,3.62
4:11,4931,259121.34,1.21
4:11,3674,261000,1.5
4:11,4387,270558,1.28
4:12,4845,303408.57,9.25
4:12,6602,347718.52,8.51
4:13,6071,318053,1.22
4:13,4313,235103,6.68
4:13,6317,309663,1.38
4:14,5565,313130,5.29
4:14,6243,292935,2.5
4:15,6030,306941.68,23.38
4:15,6523,340012.87,1.89
4:16,5666,312296,1.04
4:16,5666,312296,1.02
4:16,5475,345128.82,1.29
4:16,5963,386395,1.9
4:17,6939,422143,3.87
4:17,7503,415809.22,6.1
4:18,7298,368386.97,1.81
4:18,6207,337980,1.11
4:18,5464,317772,1.15
4:19,6092,335788.3,5.42
4:19,7580,3964088,1.49
4:19,6759,416790,1.07
4:20,6284,386665,1.23
4:20,6148,361375,1.33
4:20,6282,392739.77,1.52